Data;Total de casos;Casos por dia;Óbitos por dia
19/abr/21;2750300;4083;178
20/abr/21;2769360;19060;1122
21/abr/21;2786483;17123;977
22/abr/21;2793750;7267;183
23/abr/21;2811562;17812;863
24/abr/21;2827833;16271;875
25/abr/21;2834321;6488;145
26/abr/21;2838233;3912;105
27/abr/21;2856225;17992;1044
28/abr/21;2873238;17013;814
29/abr/21;2888158;14920;876
30/abr/21;2903709;15551;659
01/mai/21;2918044;14335;750
02/mai/21;2923367;5323;117
03/mai/21;2926516;3149;114
04/mai/21;2941980;15464;849
05/mai/21;2956210;14230;689
06/mai/21;2969680;13470;696
07/mai/21;2984182;14502;583
08/mai/21;2997282;13100;660
09/mai/21;3003067;5785;150
10/mai/21;3006250;3183;55
11/mai/21;3022568;16318;806
12/mai/21;3038240;15672;696
13/mai/21;3053889;15649;578
14/mai/21;3069804;15915;559
15/mai/21;3085290;15486;502
16/mai/21;3092844;7554;224
17/mai/21;3096845;4001;76
18/mai/21;3112624;15779;810
19/mai/21;3129412;16788;747
20/mai/21;3147348;17936;585
21/mai/21;3163859;16511;580
22/mai/21;3180595;16736;480
23/mai/21;3188105;7510;117
24/mai/21;3192727;4622;63
25/mai/21;3210204;17477;898
26/mai/21;3226875;16671;666
27/mai/21;3239657;12782;609
28/mai/21;3241240;1583;703
29/mai/21;3254893;13653;570
30/mai/21;3265930;11037;181
31/mai/21;3272043;6113;70
01/jun/21;3291509;19466;836
02/jun/21;3314631;23122;717
03/jun/21;3334364;19733;514
04/jun/21;3338262;3898;33
05/jun/21;3355201;16939;718
06/jun/21;3365160;9959;212
07/jun/21;3370234;5074;138
08/jun/21;3378256;8022;767
09/jun/21;3382448;4192;651
10/jun/21;3405481;23033;733
11/jun/21;3428356;22875;651
12/jun/21;3449577;21221;543
13/jun/21;3458849;9272;234
14/jun/21;3464158;5309;92
15/jun/21;3487385;23227;897
16/jun/21;3509967;22582;795
17/jun/21;3525021;15054;619
18/jun/21;3552727;27706;714
19/jun/21;3573210;20483;722
20/jun/21;3582792;9582;200
21/jun/21;3587646;4854;98
22/jun/21;3610743;23097;843
23/jun/21;3630251;19508;724
24/jun/21;3648202;17951;781
25/jun/21;3669196;20994;772
26/jun/21;3688128;18932;538
27/jun/21;3696093;7965;134
28/jun/21;3700378;4285;62
29/jun/21;3719586;19208;825
30/jun/21;3727348;7762;744
01/jul/21;3743291;15943;641
02/jul/21;3762758;19467;599
03/jul/21;3779408;16650;532
04/jul/21;3785859;6451;156
